#year	doy	hr	Fe1p2	Fe130
1991	32	2	0.26717	3.9015
1991	32	3	0.26717	3.8382
1991	32	4	0.25285	3.8862
1991	32	5	0.22531	3.8337
1991	32	6	0.25285	3.8247
1991	32	7	0.25285	3.7502
1991	32	8	0.23553	3.7733
1991	32	9	0.25285	4.6395
1991	32	10	0.35025	4.7468
1991	32	11	0.31597	4.2285
1991	32	12	0.44560	4.5980
1991	32	13	0.44560	4.4039
1991	32	14	0.47276	4.3062
1991	32	15	0.35603	4.2103
1991	32	16	0.35603	4.9415
1991	32	17	0.79449	5.2720
1991	32	18	1.0318	5.0873
1991	32	19	0.89927	4.9639
1991	32	20	0.49415	4.2060
1991	32	21	0.15229	4.1844
1991	32	22	0.15229	4.1811
1991	32	23	0.093422	3.7959
1991	33	0	0.12710	3.7058
1991	33	1	0.15229	3.8170
1991	33	2	0.17026	3.7097
1991	33	3	0.15534	3.7420
1991	33	4	0.15534	3.7136
1991	33	5	0.14301	3.6390
1991	33	6	0.15534	3.6156
1991	33	7	0.17026	3.6120
1991	33	8	0.17026	3.6162
1991	33	9	0.18752	3.5656
1991	33	10	0.21748	3.5492
1991	33	11	0.21748	3.5915
1991	33	12	0.18752	3.6244
1991	33	13	0.093422	3.7000
1991	33	14	0.20140	3.7065
1991	33	15	0.068186	3.6978
1991	33	16	0.086360	3.6580
1991	33	17	0.086360	3.6650
1991	33	18	0.075547	3.6725
1991	33	19	0.060698	3.6756
1991	33	20	0.11059	3.6836
1991	33	21	0.060698	3.6811
1991	33	22	0.18752	3.6896
1991	33	23	0.093422	3.7171
1991	34	0	0.093422	3.7182
1991	34	1	0.11059	3.6994
1991	34	2	0.15534	3.6845
1991	34	3	0.16435	3.6460
1991	34	4	0.14301	3.6283
1991	34	5	0.12710	3.6584
1991	34	6	0.15534	3.5767
1991	34	7	0.15534	3.5735
1991	34	8	0.23553	3.5980
1991	34	9	0.24551	3.7355
1991	34	10	0.21748	3.7097
1991	34	11	0.23553	3.7687
1991	34	12	0.18752	3.7668
1991	34	13	0.21748	3.9011
1991	34	14	0.15229	4.0255
1991	34	15	0.18752	3.9789
1991	34	16	0.20140	3.9392
1991	34	17	0.15229	3.9414
1991	34	18	0.093422	3.9344
1991	34	19	0.060698	3.9076
1991	34	20	0.15229	3.9205
